,id,item_id
0,1,0
1,2,0
2,3,0
3,4,0
4,10051,0
5,10052,0
6,10053,0
7,10054,0
8,10055,0
9,10056,0
10,10057,0
11,10058,0
12,10059,0
13,10060,0
14,10061,0
15,10062,0
16,10063,0
17,10064,0
18,10065,0
19,10066,0
20,10067,0
21,10068,0
22,10069,0
23,10070,0
24,10071,0
25,10072,0
26,10073,0
27,10074,0
28,10075,0
29,10076,0
30,10077,0
31,10078,0
32,10079,0
33,10080,0
34,10081,0
35,10082,0
36,10083,0
37,10084,0
38,10085,0
39,10086,0
40,10087,0
41,10092,0
42,10108,0
43,10109,0
44,10111,0
45,10113,0
46,10114,0
47,10115,0
48,10116,0
49,10117,0
50,10118,0
51,10120,0
52,10122,0
53,10125,0
54,10127,0
55,10128,0
56,10129,0
57,10131,0
58,10138,0
59,10140,0
60,10141,0
61,10142,0
62,10143,0
63,10144,0
64,101061,0
65,101062,0
66,1011001,0
67,1011002,0
68,1012101,0
69,1012102,0
70,1012301,0
71,1012302,0
72,1012401,0
73,1012402,0
74,1012601,0
75,1013001,0
76,1013002,0
77,1013003,0
78,1013201,0
79,1013202,0
80,1013301,0
81,1013401,0
82,1013402,0
83,1013501,0
84,1013502,0
85,1013701,0
86,1013702,0
87,1013901,0
88,1013902,0
89,1014201,0
90,1014202,0
91,1019400,0
92,1019500,0
93,1019600,0
94,1019700,0
95,1019800,0
96,1019900,0
97,1020000,0
98,1020100,0
99,1020200,0
100,1020300,0
101,1020400,0
102,1020500,0
103,1020600,0
104,1020700,0
105,1020800,0
106,1020900,0
107,1021000,0
108,1021100,0
109,1021200,0
110,1021300,0
111,1021400,0
112,1021500,0
113,1021600,0
114,1021700,0
115,1021800,0
116,1021900,0
117,1022000,0
118,1022100,0
119,1022200,0
120,1022300,0
121,1022400,0
122,1022500,0
123,1022600,0
124,1022700,0
125,1022800,0
126,1022900,0
127,1023000,0
128,1023100,0
129,1023200,0
130,1023300,0
131,1023400,0
132,1023500,0
133,1023600,0
134,1023700,0
135,1023800,0
136,1023900,0
137,1024000,0
138,1024100,0
139,1024200,0
140,1024300,0
141,1024400,0
142,1024500,0
143,1024600,0
144,1024700,0
145,1024800,0
146,1024900,0
147,1025000,0
148,1025100,0
149,1025200,0
150,1025300,0
151,1027400,0
152,1027700,0
153,1027800,0
154,1027900,0
155,1027901,0
156,1028000,0
157,1028100,0
158,1028200,0
159,1028201,0
160,1028300,0
161,1028400,0
162,1028401,0
163,1028500,0
164,1028600,0
165,1028700,0
166,1028800,0
167,1028900,0
168,1029000,0
169,1029100,0
170,1029200,0
